ticker,names_1,names_2,names_3
MMM,3M Company,The 3M Company,3M Co.
ABT,Abbott Laboratories,NaN,NaN
ABBV,AbbVie Inc.,"AbbVie, Inc.","AbbVie, Incorporated"
ABMD,Abiomed,Abiomed Inc.,"Abiomed, Inc."
ACN,Accenture,Accenture plc,NaN
ATVI,Activision Blizzard,"Activision Blizzard, Inc.",Activision Blizzard Inc.
ADBE,Adobe Inc.,Adobe Inc,NaN
AMD,Advanced Micro Devices,NaN,NaN
AAP,Advance Auto Parts,NaN,NaN
AES,AES Corp,Applied Energy Services,AES Corporation
AFL,Aflac,NaN,NaN
APD,Air Products & Chemicals,Air Products and Chemicals,NaN
AKAM,Akamai Technologies,Akamai,NaN
ALK,Alaska Air Group,NaN,NaN
ALB,Albemarle Corporation,Albemarle Corp,NaN
ARE,Alexandria Real Estate Equities,NaN,NaN
ALXN,Alexion Pharmaceuticals,Alexion,NaN
ALGN,Align Technology,NaN,NaN
ALLE,Allegion,Allegion plc,NaN
LNT,Alliant Energy,Alliant Energy Corporation,NaN
ALL,Allstate Corp,The Allstate Corporation,Allstate Corporation
GOOGL,Alphabet Inc. (Class A),Alphabet Inc.,NaN
GOOG,Alphabet Inc. (Class C),Alphabet Inc.,NaN
MO,Altria Group Inc,Altria,NaN
AMZN,Amazon.com Inc.,Amazon,NaN
AMCR,Amcor,Amcor plc,Amcor Inc
AEE,Ameren Corp,Ameren Corporation,NaN
AAL,American Airlines Group,NaN,NaN
AEP,American Electric Power,NaN,NaN
AXP,American Express,American Express Company,Amex
AIG,American International Group,NaN,NaN
AMT,American Tower Corp.,NaN,NaN
AWK,American Water Works,American Water,NaN
AMP,Ameriprise Financial,NaN,NaN
ABC,AmerisourceBergen,NaN,NaN
AME,Ametek,NaN,NaN
AMGN,Amgen Inc.,NaN,NaN
APH,Amphenol Corp,NaN,NaN
ADI,"Analog Devices, Inc.",Analog,NaN
ANSS,"ANSYS, Inc.",NaN,NaN
ANTM,Anthem,NaN,NaN
AON,Aon plc,NaN,NaN
AOS,A.O. Smith Corp,NaN,NaN
APA,Apache Corporation,NaN,NaN
AAPL,Apple Inc.,Apple Computers,NaN
AMAT,Applied Materials Inc.,NaN,NaN
APTV,Aptiv PLC,NaN,NaN
ADM,Archer-Daniels-Midland Co,NaN,NaN
ANET,Arista Networks,NaN,NaN
AJG,Arthur J. Gallagher & Co.,NaN,NaN
AIZ,Assurant,NaN,NaN
T,AT&T Inc.,NaN,NaN
ATO,Atmos Energy,NaN,NaN
ADSK,Autodesk Inc.,NaN,NaN
ADP,Automatic Data Processing,NaN,NaN
AZO,AutoZone Inc,NaN,NaN
AVB,AvalonBay Communities,NaN,NaN
AVY,Avery Dennison Corp,NaN,NaN
BKR,Baker Hughes Co,NaN,NaN
BLL,Ball Corp,NaN,NaN
BAC,Bank of America Corp,NaN,NaN
BK,The Bank of New York Mellon,NaN,NaN
BAX,Baxter International Inc.,NaN,NaN
BDX,Becton Dickinson,"Becton, Dickinson and co",NaN
BRK.B,Berkshire Hathaway,BRK-B,"Berkshire Hathaway, Inc Class B"
BBY,Best Buy Co. Inc.,NaN,NaN
BIO,Bio-Rad Laboratories,NaN,NaN
BIIB,Biogen Inc.,NaN,NaN
BLK,BlackRock,NaN,NaN
BA,Boeing Company,NaN,NaN
BKNG,Booking Holdings Inc,NaN,NaN
BWA,BorgWarner,NaN,NaN
BXP,Boston Properties,NaN,NaN
BSX,Boston Scientific,NaN,NaN
BMY,Bristol-Myers Squibb,NaN,NaN
AVGO,Broadcom Inc.,NaN,NaN
BR,Broadridge Financial Solutions,NaN,NaN
BF.B,Brown-Forman Corp.,Brown-Forman,NaN
CHRW,C. H. Robinson Worldwide,C. H. Robinson,NaN
COG,Cabot Oil & Gas,NaN,NaN
CDNS,Cadence Design Systems,NaN,NaN
CPB,Campbell Soup,NaN,NaN
COF,Capital One Financial,NaN,NaN
CAH,Cardinal Health Inc.,NaN,NaN
KMX,Carmax Inc,NaN,NaN
CCL,Carnival Corp.,NaN,NaN
CARR,Carrier Global,NaN,NaN
CTLT,Catalent,NaN,NaN
CAT,Caterpillar Inc.,NaN,NaN
CBRE,CBRE Group,Coldwell Banker Richard Ellis,NaN
CDW,CDW,NaN,NaN
CE,Celanese,Hoechst Celanese,NaN
CNC,Centene Corporation,NaN,NaN
CNP,CenterPoint Energy,NaN,NaN
CERN,Cerner,NaN,NaN
CF,CF Industries Holdings Inc,NaN,NaN
SCHW,Charles Schwab Corporation,NaN,NaN
CHTR,Charter Communications,NaN,NaN
CVX,Chevron Corp.,NaN,NaN
CMG,Chipotle Mexican Grill,NaN,NaN
